icd_code,icd_title
S12600A,"Unsp disp fx of seventh cervical vertebra, init for clos fx"
V4352XA,"Car driver injured in collision w car in traf, init"
S22059A,"Unsp fracture of T5-T6 vertebra, init for clos fx"
S22069A,"Unsp fracture of T7-T8 vertebra, init for clos fx"
V499XXA,"Car occupant (driver) (passenger) injured in unsp traf, init"
S0501XA,"Inj conjunctiva and corneal abrasion w/o fb, right eye, init"
D696,"Thrombocytopenia, unspecified"
S02652A,"Fracture of angle of left mandible, init"
S27321A,"Contusion of lung, unilateral, initial encounter"
Y048XXA,"Assault by other bodily force, initial encounter"
T814XXA,"Infection following a procedure, initial encounter"
R000,"Tachycardia, unspecified"
I471,Supraventricular tachycardia
I480,Paroxysmal atrial fibrillation
K047,Periapical abscess without sinus
J9600,"Acute respiratory failure, unsp w hypoxia or hypercapnia"
K7200,Acute and subacute hepatic failure without coma
K7031,Alcoholic cirrhosis of liver with ascites
R188,Other ascites
T8242XA,"Displacement of vascular dialysis catheter, init encntr"
S63502A,"Unspecified sprain of left wrist, initial encounter"
J0180,Other acute sinusitis
N201,Calculus of ureter
M62830,Muscle spasm of back
N200,Calculus of kidney
M25471,"Effusion, right ankle"
R200,Anesthesia of skin
B86,Scabies
R600,Localized edema
S0083XA,"Contusion of other part of head, initial encounter"
S22080A,"Wedge compression fracture of T11-T12 vertebra, init"
S82142A,"Displaced bicondylar fracture of left tibia, init"
W19XXXA,"Unspecified fall, initial encounter"
M79602,Pain in left arm
M25561,Pain in right knee
T23171A,"Burn of first degree of right wrist, initial encounter"
X12XXXA,"Contact with other hot fluids, initial encounter"
I213,ST elevation (STEMI) myocardial infarction of unsp site
K920,Hematemesis
N739,"Female pelvic inflammatory disease, unspecified"
N72,Inflammatory disease of cervix uteri
C9000,Multiple myeloma not having achieved remission
I82622,Acute embolism and thrombosis of deep veins of l up extrem
T83098A,"Mech compl of other urinary catheter, initial encounter"
Y848,"Oth medical procedures cause abn react/compl, w/o misadvnt"
N99518,Other cystostomy complication
Y833,"Form of external stoma cause abn react/compl, w/o misadvnt"
T8389XA,"Oth complication of genitourinary prosth dev/grft, init"
Y738,"Misc gastroent and urology devices assoc w incdt, NEC"
I442,"Atrioventricular block, complete"
R110,Nausea
Z9282,S/p admn tPA in diff fac w/n last 24 hr bef adm to crnt fac
S2220XA,"Unsp fracture of sternum, init encntr for closed fracture"
K429,Umbilical hernia without obstruction or gangrene
S52571A,"Oth intartic fracture of lower end of right radius, init"
S0081XA,"Abrasion of other part of head, initial encounter"
W172XXA,"Fall into hole, initial encounter"
S52592A,"Oth fractures of lower end of left radius, init for clos fx"
W000XXA,"Fall on same level due to ice and snow, initial encounter"
R072,Precordial pain
S20229A,"Contusion of unspecified back wall of thorax, init encntr"
S5002XA,"Contusion of left elbow, initial encounter"
Y0889XA,"Assault by other specified means, initial encounter"
E109,Type 1 diabetes mellitus without complications
E10649,Type 1 diabetes mellitus with hypoglycemia without coma
K625,Hemorrhage of anus and rectum
R871,Abn lev hormones in specimens from female genital organs
C9110,Chronic lymphocytic leuk of B-cell type not achieve remis
T383X1A,"Poisoning by insulin and oral hypoglycemic drugs, acc, init"
I82431,Acute embolism and thrombosis of right popliteal vein
N19,Unspecified kidney failure
K7581,Nonalcoholic steatohepatitis (NASH)
J90,"Pleural effusion, not elsewhere classified"
I160,Hypertensive urgency
S0990XA,"Unspecified injury of head, initial encounter"
W07XXXA,"Fall from chair, initial encounter"
T446X1A,"Poisoning by alpha-adrenocpt antagonists, accidental, init"
S8011XA,"Contusion of right lower leg, initial encounter"
M436,Torticollis
S12000A,"Unsp disp fx of first cervical vertebra, init for clos fx"
J020,Streptococcal pharyngitis
Z950,Presence of cardiac pacemaker
K5090,"Crohn's disease, unspecified, without complications"
T8332XA,"Displacement of intrauterine contraceptive device, init"
S8001XA,"Contusion of right knee, initial encounter"
V736XXA,"Pasngr on bus injured pick-up truck, pk-up/van in traf, init"
J449,"Chronic obstructive pulmonary disease, unspecified"
S62232A,"Oth disp fx of base of first MC bone, left hand, init"
S62310A,"Disp fx of base of second metacarpal bone, right hand, init"
S2232XA,"Fracture of one rib, left side, init for clos fx"
S42022A,"Disp fx of shaft of left clavicle, init for clos fx"
S32029A,"Unsp fracture of second lumbar vertebra, init for clos fx"
S22089A,"Unsp fracture of T11-T12 vertebra, init for clos fx"
F259,"Schizoaffective disorder, unspecified"
F251,"Schizoaffective disorder, depressive type"
O009,"Ectopic pregnancy, unspecified"
Z3A25,25 weeks gestation of pregnancy
S060X1A,"Concussion w LOC of 30 minutes or less, init"
S6981XA,"Oth injuries of right wrist, hand and finger(s), init encntr"
M5440,"Lumbago with sciatica, unspecified side"
I82491,Acute embolism and thrombosis of deep vein of r low extrem
T82868A,"Thrombosis due to vascular prosth dev/grft, init"
Y832,"Anastomos,bypass or grft cause abn react/compl, w/o misadvnt"
N186,End stage renal disease
Z992,Dependence on renal dialysis
I120,Hyp chr kidney disease w stage 5 chr kidney disease or ESRD
S72142A,"Displaced intertrochanteric fracture of left femur, init"
E1010,Type 1 diabetes mellitus with ketoacidosis without coma
E872,Acidosis
R7881,Bacteremia
E1065,Type 1 diabetes mellitus with hyperglycemia
L97519,Non-prs chronic ulcer oth prt right foot w unsp severity
S52121A,"Disp fx of head of right radius, init for clos fx"
V193XXA,"Pedl cyclst (driver) injured in unsp nontraf, init"
I888,Other nonspecific lymphadenitis
S86012A,"Strain of left Achilles tendon, initial encounter"
S43401A,"Unspecified sprain of right shoulder joint, init encntr"
M546,Pain in thoracic spine
I714,"Abdominal aortic aneurysm, without rupture"
S6992XA,"Unsp injury of left wrist, hand and finger(s), init encntr"
F23,Brief psychotic disorder
Z452,Encounter for adjustment and management of VAD
G1221,Amyotrophic lateral sclerosis
S32422A,"Disp fx of posterior wall of left acetabulum, init"
V476XXA,"Car pasngr injured in clsn with statnry object in traf, init"
T18128A,"Food in esophagus causing other injury, initial encounter"
I609,"Nontraumatic subarachnoid hemorrhage, unspecified"
D690,Allergic purpura
T360X5A,"Adverse effect of penicillins, initial encounter"
S20219A,"Contusion of unspecified front wall of thorax, init encntr"
S060X0A,"Concussion without loss of consciousness, initial encounter"
D130,Benign neoplasm of esophagus
F17210,"Nicotine dependence, cigarettes, uncomplicated"
S29012A,"Strain of muscle and tendon of back wall of thorax, init"
W06XXXA,"Fall from bed, initial encounter"
S42402A,"Unsp fracture of lower end of left humerus, init for clos fx"
V199XXA,"Pedl cyclst (driver) (passenger) injured in unsp traf, init"
H9312,"Tinnitus, left ear"
T40601A,"Poisoning by unsp narcotics, accidental, init"
R4020,Unspecified coma
S01511A,"Laceration without foreign body of lip, initial encounter"
M25531,Pain in right wrist
I83892,Varicose veins of l low extrem with other complications
S161XXA,"Strain of muscle, fascia and tendon at neck level, init"
K629,"Disease of anus and rectum, unspecified"
C9210,"Chronic myeloid leuk, BCR/ABL-positive, not achieve remis"
D735,Infarction of spleen
R0902,Hypoxemia
D61818,Other pancytopenia
N472,Paraphimosis
F430,Acute stress reaction
N289,"Disorder of kidney and ureter, unspecified"
N419,"Inflammatory disease of prostate, unspecified"
R208,Other disturbances of skin sensation
H5711,"Ocular pain, right eye"
W1809XA,"Striking against oth object w subsequent fall, init encntr"
I5040,Unsp combined systolic and diastolic (congestive) hrt fail
M79605,Pain in left leg
M7122,"Synovial cyst of popliteal space [Baker], left knee"
L03213,Periorbital cellulitis
Z48817,"Encntr for surgical aftcr fol surgery on the skin, subcu"
J188,"Other pneumonia, unspecified organism"
L0889,Oth local infections of the skin and subcutaneous tissue
N508,Other specified disorders of male genital organs
T85898A,"Oth complication of other internal prosth dev/grft, init"
E871,Hypo-osmolality and hyponatremia
I951,Orthostatic hypotension
S61211A,"Laceration w/o fb of l idx fngr w/o damage to nail, init"
Z203,Contact with and (suspected) exposure to rabies
K6389,Other specified diseases of intestine
S52341B,"Displ spiral fx shaft of rad, r arm, 7thB"
X959XXA,"Assault by unspecified firearm discharge, initial encounter"
M25511,Pain in right shoulder
K5732,Dvtrcli of lg int w/o perforation or abscess w/o bleeding
S1181XA,"Laceration w/o foreign body of oth part of neck, init encntr"
X781XXA,"Intentional self-harm by knife, initial encounter"
Z0441,Encounter for exam and obs following alleged adult rape
C259,"Malignant neoplasm of pancreas, unspecified"
K91840,Postproc hemor of a dgstv sys org fol a dgstv sys procedure
I82B12,Acute embolism and thrombosis of left subclavian vein
I82C12,Acute embolism and thrombosis of left internal jugular vein
S81012A,"Laceration without foreign body, left knee, init encntr"
D329,"Benign neoplasm of meninges, unspecified"
T8189XA,"Oth complications of procedures, NEC, init"
M25552,Pain in left hip
S90822A,"Blister (nonthermal), left foot, initial encounter"
R740,Nonspec elev of levels of transamns & lactic acid dehydrgnse
R599,"Enlarged lymph nodes, unspecified"
D860,Sarcoidosis of lung
Z9641,Presence of insulin pump (external) (internal)
A0471,"Enterocolitis due to Clostridium difficile, recurrent"
K8033,Calculus of bile duct w acute cholangitis with obstruction
S20211A,"Contusion of right front wall of thorax, initial encounter"
M25521,Pain in right elbow
S37062A,"Major laceration of left kidney, initial encounter"
W101XXA,"Fall (on)(from) sidewalk curb, initial encounter"
T84020A,"Dislocation of internal right hip prosthesis, init encntr"
S72091A,"Oth fracture of head and neck of right femur, init"
T8149XA,"Infection following a procedure, other surgical site, init"
M79672,Pain in left foot
Z4689,Encounter for fitting and adjustment of oth devices
Z3A22,22 weeks gestation of pregnancy
Z09,Encntr for f/u exam aft trtmt for cond oth than malig neoplm
K830,Cholangitis
M24412,"Recurrent dislocation, left shoulder"
M4854XA,"Collapsed vertebra, NEC, thoracic region, init"
N9410,Unspecified dyspareunia
I200,Unstable angina
L03316,Cellulitis of umbilicus
G35,Multiple sclerosis
S90129A,"Contusion of unsp lesser toe(s) w/o damage to nail, init"
S7002XA,"Contusion of left hip, initial encounter"
R0689,Other abnormalities of breathing
J09X2,Flu due to ident novel influenza A virus w oth resp manifest
K831,Obstruction of bile duct
R1010,"Upper abdominal pain, unspecified"
Z3A33,33 weeks gestation of pregnancy
S32019A,"Unsp fracture of first lumbar vertebra, init for clos fx"
R1033,Periumbilical pain
M5489,Other dorsalgia
S31614A,"Lac w/o fb of abd wall, left lower q w penet perit cav, init"
S0266XA,"Fracture of symphysis of mandible, init for clos fx"
X991XXA,"Assault by knife, initial encounter"
M25462,"Effusion, left knee"
F410,Panic disorder [episodic paroxysmal anxiety]
L02214,Cutaneous abscess of groin
K3580,Unspecified acute appendicitis
L299,"Pruritus, unspecified"
N3090,"Cystitis, unspecified without hematuria"
Z86718,Personal history of other venous thrombosis and embolism
S90812A,"Abrasion, left foot, initial encounter"
S90811A,"Abrasion, right foot, initial encounter"
M797,Fibromyalgia
Z7902,Long term (current) use of antithrombotics/antiplatelets
R300,Dysuria
E038,Other specified hypothyroidism
F319,"Bipolar disorder, unspecified"
R21,Rash and other nonspecific skin eruption
M25551,Pain in right hip
Y040XXA,"Assault by unarmed brawl or fight, initial encounter"
K529,"Noninfective gastroenteritis and colitis, unspecified"
M25532,Pain in left wrist
S40012A,"Contusion of left shoulder, initial encounter"
H9201,"Otalgia, right ear"
M791,Myalgia
X501XXA,"Overexertion from prolonged static or awkward postures, init"
R591,Generalized enlarged lymph nodes
G9589,Other specified diseases of spinal cord
S63292A,"Dislocation of distal interphaln joint of r mid finger, init"
R0981,Nasal congestion
K4090,"Unil inguinal hernia, w/o obst or gangr, not spcf as recur"
F1120,"Opioid dependence, uncomplicated"
K2970,"Gastritis, unspecified, without bleeding"
J3489,Other specified disorders of nose and nasal sinuses
B353,Tinea pedis
Z590,Homelessness
J209,"Acute bronchitis, unspecified"
L986,"Oth infiltrative disorders of the skin, subcu"
F1110,"Opioid abuse, uncomplicated"
S20212A,"Contusion of left front wall of thorax, initial encounter"
J320,Chronic maxillary sinusitis
R45850,Homicidal ideations
M79604,Pain in right leg
S59901A,"Unspecified injury of right elbow, initial encounter"
S50311A,"Abrasion of right elbow, initial encounter"
S300XXA,"Contusion of lower back and pelvis, initial encounter"
Y042XXA,"Asslt by strike agnst or bumped into by another person, init"
L03114,Cellulitis of left upper limb
L03113,Cellulitis of right upper limb
I809,Phlebitis and thrombophlebitis of unspecified site
B351,Tinea unguium
N433,"Hydrocele, unspecified"
N3289,Other specified disorders of bladder
S022XXA,"Fracture of nasal bones, init encntr for closed fracture"
J329,"Chronic sinusitis, unspecified"
N50811,Right testicular pain
N50812,Left testicular pain
R350,Frequency of micturition
L0591,Pilonidal cyst without abscess
N764,Abscess of vulva
N950,Postmenopausal bleeding
H05012,Cellulitis of left orbit
G971,Other reaction to spinal and lumbar puncture
H5712,"Ocular pain, left eye"
H538,Other visual disturbances
S61511A,"Laceration without foreign body of right wrist, init encntr"
M62838,Other muscle spasm
A6920,"Lyme disease, unspecified"
T675XXA,"Heat exhaustion, unspecified, initial encounter"
X30XXXA,"Exposure to excessive natural heat, initial encounter"
M069,"Rheumatoid arthritis, unspecified"
R2681,Unsteadiness on feet
V134XXA,"Pedl cyc driver inj pick-up truck, pk-up/van in traf, init"
M1A0321,"Idiopathic chronic gout, left wrist, with tophus (tophi)"
Z3A01,Less than 8 weeks gestation of pregnancy
O0090,Unspecified ectopic pregnancy without intrauterine pregnancy
O081,Delayed or excess hemor fol ectopic and molar pregnancy
N831,Corpus luteum cyst
D259,"Leiomyoma of uterus, unspecified"
S0292XA,"Unsp fracture of facial bones, init for clos fx"
L089,"Local infection of the skin and subcutaneous tissue, unsp"
S61221A,"Laceration w fb of l idx fngr w/o damage to nail, init"
W270XXA,"Contact with workbench tool, initial encounter"
K611,Rectal abscess
I2692,Saddle embolus of pulmonary artery w/o acute cor pulmonale
S72441A,"Disp fx of lower epiphysis (separation) of right femur, init"
M9701XA,"Periprosth fracture around internal prosth r hip jt, init"
R4781,Slurred speech
S80811A,"Abrasion, right lower leg, initial encounter"
L538,Other specified erythematous conditions
S139XXA,"Sprain of joints and ligaments of unsp parts of neck, init"
Z87442,Personal history of urinary calculi
I629,"Nontraumatic intracranial hemorrhage, unspecified"
S61052A,"Open bite of left thumb without damage to nail, init encntr"
W5501XA,"Bitten by cat, initial encounter"
L03012,Cellulitis of left finger
R9431,Abnormal electrocardiogram [ECG] [EKG]
F22,Delusional disorders
I724,Aneurysm of artery of lower extremity
I249,"Acute ischemic heart disease, unspecified"
E11628,Type 2 diabetes mellitus with other skin complications
S50812A,"Abrasion of left forearm, initial encounter"
L02612,Cutaneous abscess of left foot
O00101,Right tubal pregnancy without intrauterine pregnancy
N189,"Chronic kidney disease, unspecified"
S7011XA,"Contusion of right thigh, initial encounter"
I129,Hypertensive chronic kidney disease w stg 1-4/unsp chr kdny
O0080,Other ectopic pregnancy without intrauterine pregnancy
N939,"Abnormal uterine and vaginal bleeding, unspecified"
R29810,Facial weakness
R471,Dysarthria and anarthria
I161,Hypertensive emergency
S99912A,"Unspecified injury of left ankle, initial encounter"
E11319,Type 2 diabetes w unsp diabetic rtnop w/o macular edema
H9202,"Otalgia, left ear"
H6692,"Otitis media, unspecified, left ear"
G40309,"Gen idiopathic epilepsy, not intractable, w/o stat epi"
S56521A,"Lacerat extn musc/fasc/tend at forarm lv, right arm, init"
Z113,Encntr screen for infections w sexl mode of transmiss
R7989,Other specified abnormal findings of blood chemistry
O039,Complete or unsp spontaneous abortion without complication
E1169,Type 2 diabetes mellitus with other specified complication
M869,"Osteomyelitis, unspecified"
F0150,Vascular dementia without behavioral disturbance
N10,Acute pyelonephritis
S42232A,"3-part fracture of surgical neck of left humerus, init"
K219,Gastro-esophageal reflux disease without esophagitis
S8392XA,"Sprain of unspecified site of left knee, initial encounter"
W500XXA,"Accidental hit or strike by another person, init encntr"
S32591A,"Oth fracture of right pubis, init encntr for closed fracture"
S72141A,"Displaced intertrochanteric fracture of right femur, init"
S52021A,"Disp fx of olecran pro w/o intartic extn right ulna, init"
S62396A,"Oth fracture of fifth metacarpal bone, right hand, init"
G43819,"Other migraine, intractable, without status migrainosus"
F209,"Schizophrenia, unspecified"
I878,Other specified disorders of veins
Z3A10,10 weeks gestation of pregnancy
R413,Other amnesia
I671,"Cerebral aneurysm, nonruptured"
S53125A,"Posterior dislocation of left ulnohumeral joint, init encntr"
Z4789,Encounter for other orthopedic aftercare
Z9181,History of falling
Z96651,Presence of right artificial knee joint
T8131XA,"Disruption of external operation (surgical) wound, NEC, init"
G061,Intraspinal abscess and granuloma
M4626,"Osteomyelitis of vertebra, lumbar region"
C228,"Malignant neoplasm of liver, primary, unspecified as to type"
S065X0A,"Traum subdr hem w/o loss of consciousness, init"
K311,Adult hypertrophic pyloric stenosis
M533,"Sacrococcygeal disorders, not elsewhere classified"
N1330,Unspecified hydronephrosis
W1811XA,"Fall from or off toilet w/o strike against object, init"
I429,"Cardiomyopathy, unspecified"
Z8546,Personal history of malignant neoplasm of prostate
K9413,Enterostomy malfunction
F4320,"Adjustment disorder, unspecified"
R6884,Jaw pain
R443,"Hallucinations, unspecified"
S229XXA,"Fracture of bony thorax, part unsp, init for clos fx"
S81852A,"Open bite, left lower leg, initial encounter"
W540XXA,"Bitten by dog, initial encounter"
G8918,Other acute postprocedural pain
S81812A,"Laceration without foreign body, left lower leg, init encntr"
L89899,"Pressure ulcer of other site, unspecified stage"
N12,"Tubulo-interstitial nephritis, not spcf as acute or chronic"
L89322,"Pressure ulcer of left buttock, stage 2"
M7918,"Myalgia, other site"
