icd_code,icd_title
81305,FX RADIUS HEAD-CLOSED
07999,UNSPEC VIRAL INFECTION
7840,HEADACHE
5990,URIN TRACT INFECTION NOS
7291,MYALGIA AND MYOSITIS NOS
78060,"FEVER, UNSPECIFIED"
7862,COUGH
79902,HYPOXEMIA
V5881,REMOVAL VASCULAR CATHETER
78903,ABDOMINAL PAIN RLQ
78701,NAUSEA WITH VOMITING
78791,DIARRHEA
8830,OPEN WOUND OF FINGER
E9208,ACC-CUTTING INSTRUM NEC
V1585,PERSONAL HISTORY OF CONTACT WITH AND (SUSPECTED) EXPOSURE TO POTENTIALLY HAZARDOUSBODY FLUIDS
59080,PYELONEPHRITIS NOS
7802,SYNCOPE AND COLLAPSE
9100,ABRASION HEAD
E8801,FALL FROM SIDEWALK CURB
80502,FX C2 VERTEBRA-CLOSED
E8846,FALL FROM COMMODE
92411,CONTUSION OF KNEE
49390,"ASTHMA, UNSPECIFIED"
49392,"ASTHMA, UNSPECIFIED, WITH ACUTE EXACERBATION"
79431,ABNORM ELECTROCARDIOGRAM
49121,"OBSTRUCTIVE CHR. BRONCHITIS,WITH ACUTE EXACERBATION"
7804,VERTIGO/DIZZINESS
87363,"TOOTH (BROKEN) (FRACTURED) (DUE TO TRAUMA), WITHOUT MENTION OF COMPLICATION"
E916,STRUCK BY FALLING OBJECT
8500,CONCUSSION W/O COMA
E9179,STRUCK BY OBJECT OR PERSON WITH OR WITHOUT FALL
41091,"MYOCARDIAL INFARCTION NOS, INIT EPISODE OF CARE"
5939,RENAL & URETERAL DIS NOS
25011,DIAB KETOACIDOSIS IDDM
0088,VIRAL ENTERITIS NOS
41519,PULM EMBOLISM/INFARCT
496,CHRONIC AIRWAY OBSTRUCTION
5589,NONINF GASTROENTERIT NEC
51881,ACUTE RESPIRATORY FAILURE
5119,PLEURAL EFFUSION NOS
46400,"ACUTE LARYNGITIS, WITHOUT MENTION OF OBSTRUCTION"
78009,SEMICOMA/STUPOR
7991,RESPIRATORY FAILURE
8208,FX NECK OF FEMUR NOS-CL
5920,CALCULUS OF KIDNEY
5758,DIS OF GALLBLADDER NEC
7906,ABN BLOOD CHEMISTRY NEC
99811,HEMORR COMPLIC PROCEDURE
E8799,ABN REACT-PROCEDURE NOS
V6759,FOLLOW-UP EXAM NEC
5921,CALCULUS OF URETER
78064,CHILLS (WITHOUT FEVER)
78904,ABDOMINAL PAIN LLQ
78907,ABDOMINAL PAIN GENERALIZED
8730,OPEN WOUND OF SCALP
78901,ABDOMINAL PAIN RUQ
7245,BACKACHE NOS
56400,UNSPECIFIED CONSTIPATION
7242,LUMBAGO
9597,LOWER LEG INJURY NOS
E9278,OTHER OVEREXERTION AND STRENUOUS AND REPETIVE MOVEMENTS OR LOADS
70719,ULCER OF OTHER PART OF LOWER LIMB
79092,ABNORMAL COAGULATION PROFILE
E9342,ADV EFF ANTICOAGULANTS
81344,FX LOW RADIUS W ULNA-CL
9592,SHLDR/UPPER ARM INJ NOS
E8809,FALL ON STAIR/STEP NEC
2512,HYPOGLYCEMIA NOS
V600,LACK OF HOUSING
2989,PSYCHOSIS NOS
5789,GASTROINTEST HEMORR NOS
20280,LYMPHOMA NEC UNSPEC SITE
135,SARCOIDOSIS
73313,PATHOLOGIC FX VERTEBRAE
4320,NONTRAUM EXTRADURAL HEM
78909,ABDOMINAL PAIN OTHER SPECIED
28800,"NEUTROPENIA, UNSPECIFIED "
95901,HEAD INJURY UNSPECIFIED
E8881,FALL RESULTING IN STRIKING AGAINST OTHER OBJECT
E0092,ACTIVITY INVOLVING AEROBIC AND STEP EXERCISE
7812,ABNORMALITY OF GAIT
41401,CAD NATIVE CORONARY VESSEL
82300,FX UPPER END TIBIA-CLOSE
81209,FX UPPER HUMERUS NEC-CL
72888,RHABDOMYOLYSIS
43491,CEREBRAL ART OCCLUS W/INFARCT
72989,MUSCSKEL SYMPT LIMB NEC
42731,ATRIAL FIBRILLATION
5693,RECTAL & ANAL HEMORRHAGE
1541,MALIGNANT NEOPL RECTUM
56941,RECTAL & ANAL ULCER
42789,CARDIAC DYSRHYTHMIAS NEC
41092,"MYOCARDIAL INFARCTION NOS, SUBSEQUENT EPISODE OF CARE"
71946,JOINT PAIN-L/LEG
566,ABCESS OF ANAL & RECTAL REGIONS
6826,CELLULITIS OF LEG
E8121,MV COLLISION NOS-PASNGR
9694,POIS-BENZODIAZEPINE TRAN
E8532,ACC POISN-BENZDIAZ TRANQ
30000,ANXIETY STATE NOS
5849,"ACUTE KIDNEY FAILURE, UNSPECIFIED"
2762,ACIDOSIS
7850,TACHYCARDIA NOS
78550,SHOCK NOS
6869,LOCAL SKIN INFECTION NOS
920,"CONTUSION OF FACE, SCALP, & NECK EXCEPT EYE(S)"
92231,BACK CONTUSION
71941,JOINT PAIN-SHLDER
79439,ABN CARDIOVASC STUDY NEC
5650,ANAL FISSURE
6238,NONINFLAM DIS VAGINA NEC
6259,FEM GENITAL SYMPTOMS NOS
E8859,"FALL FROM OTHER SLIPPING,TRIPPING,STUMBLING"
1519,MALIG NEOPL STOMACH NOS
475,PERITONSILLAR ABCESS
2893,LYMPHADENITIS NOS
7841,THROAT PAIN
2449,HYPOTHYROIDISM NOS
56211,DIVERTICULITIS OF COLON
71947,JOINT PAIN-ANKLE
87342,OPEN WOUND OF FOREHEAD
V037,TETANUS TOXOID INOCULAT
33920,"POST-TRAUMATIC HEADACHE, UNSPECIFIED"
9089,LATE EFFECT INJURY NOS
E9293,LATE EFF ACCIDENTAL FALL
V420,KIDNEY TRANSPLANT STATUS
99859,OTHER POST-OP INFECTION
5531,UMBILICAL HERNIA
7810,ABN INVOLUN MOVEMENT NEC
V681,ISSUE REPEAT PRESCRIPT
78659,CHEST PAIN NEC
6850,PILONIDAL CYST W ABSCESS
95909,INJURY FACE & NECK
E9170,STRUCK IN SPORTS WITHOUT FALL
E0076,ACTIVITIES INVOLVING BASKETBALL
71945,JOINT PAIN-PELVIS
7231,CERVICALGIA
E8888,OTHER FALL
45340,ACUTE VENOUS EMBOLISM AND THROMBOSIS OF UNSPECIFIED DEEP VESSELS OF LOWER EXTREMITY
71916,HEMARTHROSIS-L/LEG
V4582,PTCA STATUS
V1255,PERSONAL HISTORY OF PULMONARY EMBOLISM
9953,"ALLERGY, UNSPECIFIED"
E9479,ADV EFF MEDICINAL NOS
25080,DIAB W MANIF NEC ADULT
63492,SPON ABORT UNCOMPL-COMP
V103,HX OF BREAST MALIGNANCY
5770,ACUTE PANCREATITIS
2768,HYPOKALEMIA
30500,ALCOHOL ABUSE-UNSPEC
30390,ALCOH DEP NEC/NOS-UNSPEC
3079,SPECIAL SYMPTOM NEC/NOS
9221,CONTUSION OF CHEST WALL
30391,ALCOH DEP NEC/NOS-CONTIN
5780,HEMATEMESIS
V4586,BARIATRIC SURGERY STATUS 
9146,FOREIGN BODY HAND
E9289,ACCIDENT NOS
78499,OTHER SYMPTOMS INVOLVING HEAD AND NECK
6824,CELLULITIS OF HAND
9593,ELB/FOREARM/WRST INJ NOS
E0030,ACTIVITIES INVOLVING ICE SKATING
3314,OBSTRUCTIV HYDROCEPHALUS
V452,VENTRICULAR SHUNT STATUS
99675,"DUE TO NERVOUS SYSTEM DEVICE,IMPLANT, GRAFT"
E8788,ABN REACT-SURG PROC NEC
7881,DYSURIA
61610,VAGINITIS NOS
30300,AC ALCOHOL INTOX-UNSPEC
9916,HYPOTHERMIA
E9010,EXCESSIVE COLD: WEATHER
9678,POIS-SEDATIVE/HYPNOT NEC
96903,POISONING BY SELECTIVE SEROTONIN REUPTAKE INHIBITORS
96909,POISONING BY OTHER ANTIDEPRESSANTS
9663,POIS-ANTICONVUL NEC/NOS
96502,POISONING-METHADONE
9800,TOXIC EFF ETHYL ALCOHOL
E9502,SUICIDE-SEDAT/HYPNOTIC
E9503,SUICIDE-PSYCHOTROPIC AGT
E9504,SUICIDE-DRUG/MEDICIN NEC
9693,POISON-ANTIPSYCHOTIC NEC
E9803,UNDETERM POIS-PSYCHOTROP
E8147,MV COLL W PEDEST-PEDEST
92300,CONTUSION SHOULDER REG
92410,CONTUSION OF LOWER LEG
47819,OTHER DISEASE OF NASAL CAVITY AND SINUSES
6820,CELLULITIS OF FACE
78906,ABDOMINAL PAIN EPIGASTRIC
71831,RECUR DISLOCAT-SHLDER
83104,DISLOC ACROMIOCLAVIC-CL
78820,RETENTION URINE UNSPECIFIED
4554,EXT THROMBOS HEMORRHOID
57450,CHOLEDOCHOLITHIASIS NOS
56942,ANAL OR RECTAL PAIN
84509,SPRAIN OF ANKLE NEC
E9288,ACCIDENT NEC
64303,MILD HYPEREMESIS-ANTEPAR
7851,PALPITATIONS
38630,LABYRINTHITIS NOS
6253,DYSMENORRHEA
7821,NONSPECIF SKIN ERUPT NEC
V4365,JOINT REPLACEMENT-KNEE
V1254,"PERSONAL HISTORY OF TIA, AND CEREBRAL INFARCTION WITHOUT RESIDUAL DEFICITS"
99832,DISRUPTION OF EXTERNAL OPERATION (SURGICAL) WOUND
2724,HYPERLIPIDEMIA NEC/NOS
20300,"MULTIPLE MYELOMA, WITHOUT MENTION OF HAVING ACHIEVED REMISSION"
V5832,ENCOUNTER FOR REMOVAL OF SUTURES 
1981,SEC MALIG NEO URIN NEC
V1046,HX-PROSTATIC MALIGNANCY
1985,SECONDARY MALIG NEO BONE
59970,"HEMATURIA, UNSPECIFIED"
82525,FX METATARSAL-CLOSED
E9270,OVEREXERTION FROM SUDDEN STRENUOUS MOVEMENT
6827,CELLULITIS OF FOOT
3510,BELL'S PALSY
7243,SCIATICA
V433,HEART VALVE REPLAC NEC
7820,SKIN SENSATION DISTURB
36500,PREGLAUCOMA NOS
20410,"CHRONIC LYMPHOID LEUKEMIA, WITHOUT MENTION OF HAVING ACHIEVED REMISSION"
71943,JOINT PAIN-FOREARM
2883,EOSINOPHILIA
84500,SPRAIN OF ANKLE NOS
V1087,HX OF THYROID MALIGNANCY
5184,ACUTE LUNG EDEMA NOS
9895,TOXIC EFFECT VENOM
E9053,HORNET/WASP/BEE STING
4659,ACUTE URI NOS
34690,"MIGRAINE, UNSPECIFIED, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS"
6089,MALE GENITAL DIS NOS
99676,COMP D/TO GU DEVICE/GRAFT
42732,ATRIAL FLUTTER
36103,PART DETACH-GIANT TEAR
80701,FRACTURE ONE RIB-CLOSED
70715,ULCER OF OTHER PART OF FOOT
99762,"AMPUTAT STUMP COMPL, INFEC"
9233,CONTUSION OF FINGER
E8800,FALL ON ESCALATOR
71591,OSTEOARTHROS NOS-SHLDER
4241,AORTIC VALVE DISORDER
71691,ARTHROPATHY NOS-SHLDER
71696,ARTHROPATHY NOS-L/LEG
55090,UNILAT INGUINAL HERNIA
4414,ABDOM AORTIC ANEURYSM
72871,PLANTAR FIBROMATOSIS
82320,FX SHAFT TIBIA-CLOSED
82322,FX SHAFT FIB W TIB-CLOS
3453,GRAND MAL STATUS
7842,SWELLING IN HEAD & NECK
6160,CERVICITIS
45381,ACUTE VENOUS EMBOLISM AND THROMBOSIS OF SUPERFICIAL VEINS OF UPPER EXTREMITY
8052,FX DORSAL VERTEBRA-CLOSE
81000,FX CLAVICLE NOS-CLOSED
80702,FRACTURE TWO RIBS-CLOSED
83401,DISLOC METACARPOPHALN-CL
0389,SEPTICEMIA NOS
99592,SEVERE SEPSIS 
78552,SEPTIC SHOCK
4660,ACUTE BRONCHITIS
3071,ANOREXIA NERVOSA
78702,NAUSEA
9160,ABRASION HIP & LEG
92311,CONTUSION OF ELBOW
8910,OPEN WND KNEE/LEG/ANKLE
V4501,CARDIAC PACEMAKER STATUS
6930,DRUG DERMATITIS NOS
E9310,ADV EFF SULFONAMIDES
V5831,ENCOUNTER FOR CHANGE OR REMOVAL OF SURGICAL WOUND DRESSING
6823,CELLULITIS OF ARM
04112,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
2900,SENILE DEMENTIA UNCOMP
29421,"DEMENTIA, UNSPECIFIED, WITH BEHAVIORAL DISTURBANCE"
V4031,WANDERING IN DISEASES CLASSIFIED ELSEWHERE
7837,"FAILURE TO THRIVE,ADULT"
29640,"BIPOL AFF, MANIC-UNSPEC"
29530,PARANOID SCHIZO-UNSPEC
8472,SPRAIN LUMBAR REGION
E8843,FALL FROM WHEELCHAIR
8449,SPRAIN OF KNEE & LEG NOS
37993,REDNESS/DISCHARGE OF EYE
37991,PAIN IN OR AROUND EYE
33818,OTHER ACUTE POSTOPERATIVE PAIN 
3688,VISUAL DISTURBANCES NEC
78939,ABDOM/PELV SWELL/MASS OTH SITE
7030,INGROWING NAIL
8920,OPEN WOUND OF FOOT
25081,IDDM W SPEC MANIFESTATION
E9425,ADV EFF VASODILATORS NEC
2749,GOUT NOS
33829,OTHER CHRONIC PAIN 
5761,CHOLANGITIS
57420,CHOLELITHIASIS NOS
V7189,OBSERVATION FOR OTHER SPECIFIED CONDITIONS NOT FOUND
5409,ACUTE APPENDICITIS NOS
96509,POISONING-OPIATES NEC
E8502,ACC POISON-OPIATES NEC
8505,CONCUSSION W COMA NOS
E8136,MV-OTH VEH COLL-PED CYCL
27651,DEHYDRATION
87360,OPEN WOUND OF MOUTH NOS
72402,"SPINAL STENOSIS, LUMBAR REGION, WITHOUT NEUROGENIC CLAUDICATION"
64894,OTH CURR COND-POSTPARTUM
67484,PUERP COMPL NEC-POSTPART
64893,OTH CURR COND-ANTEPARTUM
6929,DERMATITIS NOS
6262,EXCESSIVE MENSTRUATION
81003,"FX CLAVICL, ACROM END-CL"
2761,HYPOSMOLALITY/HYPONATREMIA
1977,SECOND MALIG NEO LIVER
9986,PERSIST POSTOP FISTULA
99679,COMP D/TO GRAFT/IMPLANT
5579,VASC INSUFF INTEST NOS
8088,PELVIC FRACTURE NOS-CLOS
E8261,PED CYCL ACC-PED CYCLIST
85220,TRAUMATIC SUBDURAL HEM
8054,FX LUMBAR VERTEBRA-CLOSE
E8120,MV COLLISION NOS-DRIVER
85221,SUBDURAL HEM W/O COMA
5855,"CHRONIC KIDNEY DISEASE, STAGE V"
5609,INTESTINAL OBSTRUCT NOS
5856,END STAGE RENAL DISEASE
28860,"LEUKOCYTOSIS, UNSPECIFIED "
8470,SPRAIN OF NECK
27652,HYPOVOLEMIA
80709,FX MULT RIBS NOS-CLOSED
4739,CHRONIC SINUSITIS NOS
85200,TRAUM SUBARACHNOID HEM
E9689,ASSAULT NOS
45981,VENOUS INSUFFICIENCY NOS
E9279,UNSPEC OVEREXERTIONS AND STRENUOUS AND REPETIVE MOVEMENTS OR LOADS
99833,DISRUPTION OF TRAUMATIC INJURY WOUND REPAIR
E8798,ABN REACT-PROCEDURE NEC
3310,ALZHEIMER'S DISEASE
29410,DEMENTIA IN CONDITIONS CLASSIFIED ELSEWHERE WITHOUT BEHAVIROAL DISTURBANCE
29570,SCHIZOAFFECTIVE-UNSPEC
78052,INSOMNIA NEC
8248,FX ANKLE NOS-CLOSED
99591,SEPSIS 
8471,SPRAIN THORACIC REGION
60886,"EDEMA, MALE GENITAL ORGN"
99642,DISLOCATION OF PROSTHETIC JOINT
V4364,JOINT REPLACEMENT-HIP
7824,JAUNDICE NOS
5779,PANCREATIC DISEASE NOS
56722,PERITONEAL ABSCESS
86121,LUNG CONTUSION-CLOSED
80506,FX C6 VERTEBRA-CLOSED
86405,LIVER INJURY NOS
86801,ADRENAL GLAND INJURY-CL
E8150,MV COLL W OTH OBJ-DRIVER
83100,DISLOC SHOULDER NOS-CLOS
71830,RECUR DISLOCAT-UNSPEC
0340,STREP SORE THROAT
53081,ESOPHAGEAL REFLUX
2767,HYPERKALEMIA
V427,LIVER TRANSPLANT STATUS
4553,EXT HEMORRHOID W/O COMPL
78321,"WEIGHT LOSS, ABNORMAL"
78039,OTHER CONVULSIONS
95919,OTHER INJURY OF OTHER SITES OF TRUNK
44102,DISS ABDOM AORTIC ANEURYSM
7801,HALLUCINATIONS
6821,CELLULITIS OF NECK
92400,CONTUSION OF THIGH
80221,FX CONDYL PROC MANDIB-CL
3320,PARKINSON'S DISEASE
5070,FOOD/VOMIT PNEUMONITIS
7830,ANOREXIA
9130,ABRASION FOREARM
E956,SUI/SELF-INJ BY CUT INST
31401,ATTN DEFICIT W HYPERACT
340,MULTIPLE SCLEROSIS
V5869,LONG TERM USE OTHER MED
431,INTRACEREBRAL HEMORRHAGE
6202,OVARIAN CYST NEC/NOS
7248,OTHER BACK SYMPTOMS
99604,COMPLICATION AICD
4271,PAROX VENTRIC TACHYCARD
4580,ORTHOSTATIC HYPOTENSION
53550,GASTRITIS/GASTRODUODEN-NO HEM
4254,PRIM CARDIOMYOPATHY NEC
4270,PAROX SUPRAVENTR TACHYCARDIA
8600,TRAUM PNEUMOTHORAX-CLOSE
80703,FRACTURE THREE RIBS-CLOS
55010,UNILAT ING HERNIA W OBST
V5863,LONG TERM(CURRENT) USE ANTIPLATE/ANTITHROMB.
4871,FLU W RESP MANIFEST NEC
60000,HYPERTROPHY (BENIGN) OF PROSTATE WITHOUT URINARY OBSTRUCTION AND OTHER WITHOUT URINARY OBSTRUCTION AND OTHER LOWER URINARY TRACT (LUTS)
29181,ALCOHOL WITHDRAWAL
E9688,ASSAULT NEC
75481,PECTUS EXCAVATUM
65444,ABN UTERUS NEC-POSTPART
41071,"SUBENDOCARDIAL INFARCTION, INITIAL EPISODE OF CARE"
29420,"DEMENTIA, UNSPECIFIED, WITHOUT BEHAVIORAL DISTURBANCE"
30590,DRUG ABUSE NEC-UNSPEC
5259,DENTAL DISORDER NOS
E9060,DOG BITE
5722,HEPATIC ENCEPHALOPATHY
9140,ABRASION HAND
5569,ULCERATIVE COLITIS UNSPEC
8930,OPEN WOUND OF TOE
8418,SPRAIN ELBOW/FOREARM NEC
2851,AC POSTHEMORRHAG ANEMIA
87343,OPEN WOUND OF LIP
81352,FX DISTAL RADIUS NEC-OPN
83319,DISLOCAT WRIST NEC-OPEN
E9193,METALWORKING MACHINE ACC
E9802,UNDET POIS-SED/HYPN NEC
78442,DYSPHONIA
25010,DIAB KETOACIDOSIS ADULT
E8796,ABN REACT-URINARY CATH
V536,FITTING URINARY DEVICES
92420,CONTUSION OF FOOT
591,HYDRONEPHPHROSIS
28419,OTHER PANCYTOPENIA
2875,THROMBOCYTOPENIA NOS
E9203,KNIFE/SWORD/DAGGER ACC
8860,AMPUTATION FINGER
E918,CAUGHT BETWEEN OBJECTS
81201,FX SURG NCK HUMERUS-CLOS
82021,INTERTROCHANTERIC FX-CL
E8845,FALL FROM OTHER FURNITURE
0539,HERPES ZOSTER NOS
40391,"HYPERTENSIVE CHRONIC KIDNEY DISEASE, UNSPECIFIED, WITH CHRONIC KIDNEY DISEASE STAGE V OR END STAGE RENAL DISEASE"
5859,"CHRONIC KIDNEY DISEASE, UNSPECIFIED"
68102,ONYCHIA OF FINGER
38611,BENIGN PARXYSMAL VERTIGO
68110,"CELLULITIS, TOE NOS"
7098,SKIN DISORDERS NEC
7854,GANGRENE
70714,ULCER OF HEEL AND MIDFOOT
V1251,HX VENOUS THROMBOSIS/EMBOLISM
45341,ACUTE VENOUS EMBOLISM AND THROMBOSIS OF DEEP VESSELS OF PROXIMAL LOWER EXTREMITY
40390,"HYPERTENSIVE CHRONIC KIDNEY DISEASE, UNSPECIFIED, WITH CHRONIC KIDNEY DISEASE STAGE I THROUGH STAGE IV, OR UNSPECIFIED"
6825,CELLULITIS OF BUTTOCK
5082,RESPIRATORY CONDITIONS DUE TO SMOKE INHALATION
E8902,PRIV DWEL FIRE-FUMES NOS
9950,OTHER ANAPHYLACTIC REACTION
8900,OPEN WOUND OF HIP/THIGH
E966,ASSAULT-CUTTING INSTR
34889,OTHER CONDITIONS OF BRAIN
1991,MALIGNANT NEOPLASM NOS
5771,CHRONIC PANCREATITIS
9300,CORNEAL FOREIGN BODY
E914,FB ENTERING EYE
78062,POSTPROCEDURAL FEVER
7038,DISEASES OF NAIL NEC
V4581,AORTOCORONARY BYPASS
8440,SPRAIN LATERAL COLL LIG
E8240,N-TRAF BOARD/ALIGHT-DRIV
94223,2ND DEG BURN ABDOMN WALL
E9240,ACC-HOT LIQUID & STEAM
E9204,ACCID-OTHER HAND TOOLS
8260,"FX PHALANX, FOOT-CLOSED"
99662,"DUE TO OTHER VASCULAR DEVICE, IMPLANT, AND GRAFT"
E8782,ABN REACT-ANASTOM/GRAFT
8820,OPEN WOUND OF HAND
4275,CARDIAC ARREST
7100,SYST LUPUS ERYTHEMATOSUS
92720,CRUSHING INJURY OF HAND
81502,FX METACARP BASE NEC-CL
88100,OPEN WOUND OF FOREARM
3090,ADJUST DISORDER W/DEPRESS MOOD
92320,CONTUSION OF HAND(S)
83402,DISL INTERPHALN HAND-CL
E8122,MV COLLIS NOS-MOTORCYCL
462,ACUTE PHARYNGITIS
52469,OTHER TMJ DISORDER
38010,INFEC OTITIS EXTERNA NOS
E9019,EXCESSIVE COLD NOS
E9064,NONVENOM ARTHROPOD BITE
9110,ABRASION TRUNK
25051,DIAB OPHTHAL MANIF IDDM
37923,VITREOUS HEMORRHAGE
63390,UNSPECIFIED ECTOPIC PREGNANCY WITHOUT INTRAUTERINE PREGNANCY
99674,"DUE TO OTHER VASCULAR DEVICE,IMPLANT,GRAFT"
68100,"CELLULITIS, FINGER NOS"
9155,INSECT BITE FINGER-INFEC
3441,PARAPLEGIA NOS
92401,CONTUSION OF HIP
4439,PERIPH VASCULAR DIS NOS
71911,HEMARTHROSIS-SHLDER
3129,CONDUCT DISTURBANCE NOS
9248,MULTIPLE CONTUSIONS NEC
E8111,REENTRANT MV COLL-PASNGR
37272,CONJUNCTIVAL HEMORRHAGE
8056,FX SACRUM/COCCYX-CLOSED
E882,FALL FROM BUILDING
79029,OTHER ABNORMAL GLUCOSE
8448,SPRAIN OF KNEE & LEG NEC
E8853,FALL FROM SKIS
8479,SPRAIN OF BACK NOS
7234,BRACHIAL NEURITIS NOS
E9352,ADV EFF OPIATES
9182,SUPERFIC INJ CONJUNCTIVA
8082,FRACTURE OF PUBIS-CLOSED
8628,INTRATHORACIC INJ NOS-CL
63591,LEGAL ABORT UNCOMPL-INC
7813,LACK OF COORDINATION
2967,BIPOLAR AFFECTIVE NOS
45389,ACUTE VENOUS EMBOLISM AND THROMBOSIS OF OTHER SPECIFIED VEINS
1579,MALIG NEO PANCREAS NOS
37921,VITREOUS DEGENERATION
6828,"CELLULITIS, SITE NEC"
2920,DRUG WITHDRAWAL SYNDROME
30400,OPIOID DEPENDENCE-UNSPEC
V015,RABIES CONTACT
6268,MENSTRUAL DISORDER NEC
29620,MAJOR DEPRESSION-UNSPEC
30001,PANIC DISORDER
64003,THREATEN ABORT-ANTEPART
E8849,FALL-1 LEVEL TO OTH NEC
3102,POSTCONCUSSION SYNDROME
V222,"PREG STATE, INCIDENTAL"
7265,ENTHESOPATHY OF HIP
72749,BURSAL CYST NEC
84213,SPRAIN INTERPHALANGEAL
9654,POIS-AROM ANALGESICS NEC
E9800,UNDETERM POIS-ANALGESICS
2971,PARANOIA
0546,HERPETIC WHITLOW
72992,NONTRAUMATIC HEMATOMA OF SOFT TISSUE
29690,UNSPECIFIED EPISODIC MOOD DISORDER
78720,"DYSPHAGIA, UNSPECIFIED"
78652,PAINFUL RESPIRATION
34580,"OTHER FORMS OF EPILEPSY AND RECURRENT SEIZURES, WITHOUT MENTION OF INTRACTABLE EPILEPSY"
53649,OTHER GASTROSTOMY COMPLICATION
5959,CYSTITIS NOS
E8783,ABN REACT-EXTERNAL STOMA
71596,OSTEOARTHROS NOS-L/LEG
71656,POLYARTHRITIS NOS-L/LEG
71906,JOINT EFFUSION-L/LEG
6807,CARBUNCLE OF FOOT
9171,ABRASION FOOT/TOE-INFEC
71942,JOINT PAIN-UP/ARM
E8810,FALL FROM LADDER
463,ACUTE TONSILLITIS
1983,SEC MAL NEO BRAIN/SPINE
1971,SEC MAL NEO MEDIASTINUM
V1082,HX-MALIG SKIN MELANOMA
1919,MALIG NEO BRAIN NOS
452,PORTAL VEIN THROMBOSIS
9352,FOREIGN BODY IN STOMACH
E915,FB ENTERING OTH ORIFICE
30301,AC ALCOHOL INTOX-CONTIN
38870,OTALGIA NOS
65573,DECREASE FETAL MOVEMENT ANTEPART
9925,HEAT EXHAUSTION NOS
E9000,EXCESSIVE HEAT: WEATHER
E0011,ACTIVITIES INVOLVING RUNNING
7080,ALLERGIC URTICARIA
80501,FX C1 VERTEBRA-CLOSED
7907,BACTEREMIA NOS
81342,FX DISTAL RADIUS NEC-CL
53640,UNSPEC GASTROSTOMY COMPLIC
59780,URETHRITIS NOS
6822,CELLULITIS/ABSCESS OF TRUNK
1749,MALIGN NEOPL BREAST NOS
78459,OTHER SPEECH DISTURBANCE
85301,BRAIN HEM NEC W/O COMA
29630,RECURR MAJOR DEPRESSION-UNSP
30520,CANNABIS ABUSE-UNSPEC
81243,"FX HUMER, MED CONDYL-CL"
84210,SPRAIN OF HAND NOS
9948,EFFECTS ELECTRIC CURRENT
E9250,DOMESTIC WIRING ACCIDENT
37312,HORDEOLUM INTERNUM
9120,ABRASION SHOULDER/ARM
E0064,ACTIVITIES INVOLVING BIKE RIDING
E0073,ACTIVITIES INVOLVING BASEBALL
78639,OTHER HEMOPTYSIS
78194,FACIAL WEAKNESS
81612,"FX DISTAL PHAL, HAND-OPN"
4619,ACUTE SINUSITIS NOS
E8790,ABN REACT-CARDIAC CATH
83961,DISLOCAT STERNUM-CLOSED
78601,HYPERVENTILATION
29680,MANIC-DEPRESSIVE NOS
5756,GB CHOLESTEROLOSIS
6019,PROSTATITIS NOS
57400,CHOLELITH W AC CHOLECYST
